#name	status	length	unknown percent	pvalue brute	pvalue corrected	number of convergent sites	convergent sites
PPIG	 	563	0.00e+00	1.0000e+00	5.2855e+00	0
DENND2C	 	574	0.00e+00	1.0000e+00	5.2811e+00	0
PLD1	 	577	0.00e+00	1.0000e+00	5.2767e+00	0
HSPA4L	 	581	0.00e+00	1.0000e+00	5.2723e+00	0
STRBP	 	586	0.00e+00	1.0000e+00	5.2679e+00	0
SEC23IP	 	599	0.00e+00	1.0000e+00	5.2635e+00	0
ANKRD50	 	611	0.00e+00	1.0000e+00	5.2591e+00	0
HEPHL1	 	650	0.00e+00	1.0000e+00	5.2548e+00	0
ZNF148	 	658	0.00e+00	1.0000e+00	5.2504e+00	0
WDR36	 	661	0.00e+00	1.0000e+00	5.2461e+00	0
KIAA1524	 	672	0.00e+00	1.0000e+00	5.2417e+00	0
TTBK2	 	674	0.00e+00	1.0000e+00	5.2374e+00	0
ZBTB1	 	676	0.00e+00	1.0000e+00	5.2331e+00	0
BTBD7	 	677	0.00e+00	1.0000e+00	5.2287e+00	0
PRKD3	 	678	0.00e+00	1.0000e+00	5.2244e+00	0
COG3	 	680	0.00e+00	1.0000e+00	5.2201e+00	0
KDM7A	 	689	0.00e+00	1.0000e+00	5.2158e+00	0
PRDM4	 	694	0.00e+00	1.0000e+00	5.2115e+00	0
BRD8	 	695	0.00e+00	1.0000e+00	5.2072e+00	0
AP4E1	 	705	0.00e+00	1.0000e+00	5.2030e+00	0
FIGN	 	710	0.00e+00	1.0000e+00	5.1987e+00	0
MYO18A	 	722	0.00e+00	1.0000e+00	5.1944e+00	0
TMTC3	 	726	0.00e+00	1.0000e+00	5.1902e+00	0
SYNRG	 	732	0.00e+00	1.0000e+00	5.1859e+00	0
CEP152	 	743	0.00e+00	1.0000e+00	5.1817e+00	0
PEX1	 	744	0.00e+00	1.0000e+00	5.1774e+00	0
VPS54	 	754	0.00e+00	1.0000e+00	5.1732e+00	0
SOX6	 	758	0.00e+00	1.0000e+00	5.1690e+00	0
SETD5	 	759	0.00e+00	1.0000e+00	5.1648e+00	0
SEC24C	 	770	0.00e+00	1.0000e+00	5.1606e+00	0
CDON	 	858	0.00e+00	1.0000e+00	5.1564e+00	0
USP48	 	882	0.00e+00	1.0000e+00	5.1522e+00	0
XRN1	 	896	0.00e+00	1.0000e+00	5.1480e+00	0
MON2	 	900	0.00e+00	1.0000e+00	5.1438e+00	0
MED14	 	921	0.00e+00	1.0000e+00	5.1396e+00	0
ABCA4	 	958	0.00e+00	1.0000e+00	5.1354e+00	0
STAG1	 	959	0.00e+00	1.0000e+00	5.1313e+00	0
USF3	 	970	0.00e+00	1.0000e+00	5.1271e+00	0
TCERG1	 	976	0.00e+00	1.0000e+00	5.1230e+00	0
UBR1	 	995	0.00e+00	1.0000e+00	5.1188e+00	0
MET	 	1001	0.00e+00	1.0000e+00	5.1147e+00	0
ZNF318	 	1018	0.00e+00	1.0000e+00	5.1106e+00	0
IFT172	 	1019	0.00e+00	1.0000e+00	5.1065e+00	0
KIAA0430	 	1130	0.00e+00	1.0000e+00	5.1023e+00	0
FER1L6	 	1131	0.00e+00	1.0000e+00	5.0982e+00	0
EIF4G3	 	1163	0.00e+00	1.0000e+00	5.0941e+00	0
PHIP	 	1347	0.00e+00	1.0000e+00	5.0900e+00	0
RALGAPA1	 	1359	0.00e+00	1.0000e+00	5.0859e+00	0
MGA	 	1541	0.00e+00	1.0000e+00	5.0819e+00	0
ABCA12	 	1629	0.00e+00	1.0000e+00	5.0778e+00	0
FN1	 	1812	0.00e+00	1.0000e+00	5.0737e+00	0
MBNL2	 	327	0.00e+00	1.0000e+00	5.0697e+00	0
MASP1	 	194	0.00e+00	1.0000e+00	5.0656e+00	0
PDE3A	 	436	0.00e+00	1.0000e+00	5.0616e+00	0
ATE1	 	277	0.00e+00	1.0000e+00	5.0575e+00	0
SRI	 	155	0.00e+00	1.0000e+00	5.0535e+00	0
UGGT2	 	781	0.00e+00	1.0000e+00	5.0494e+00	0
ANAPC5	 	452	0.00e+00	1.0000e+00	5.0454e+00	0
RUNX1T1	 	468	0.00e+00	1.0000e+00	5.0414e+00	0
DNAH8	 	91	0.00e+00	1.0000e+00	5.0374e+00	0
SLC22A23	 	117	0.00e+00	1.0000e+00	5.0334e+00	0
LHFPL1	 	171	0.00e+00	1.0000e+00	5.0294e+00	0
KMT2E	 	1079	0.00e+00	1.0000e+00	5.0254e+00	0
PIP4K2A	 	200	0.00e+00	1.0000e+00	5.0214e+00	0
GRAMD3	 	201	0.00e+00	1.0000e+00	5.0174e+00	0
ZMAT3	 	207	0.00e+00	1.0000e+00	5.0135e+00	0
PTPRN	 	222	0.00e+00	1.0000e+00	5.0095e+00	0
KLHL3	 	237	0.00e+00	1.0000e+00	5.0055e+00	0
TLL1	 	286	0.00e+00	1.0000e+00	5.0016e+00	0
CCNI	 	290	0.00e+00	1.0000e+00	4.9976e+00	0
DRC1	 	321	0.00e+00	1.0000e+00	4.9937e+00	0
DPYS	 	327	0.00e+00	1.0000e+00	4.9898e+00	0
POSTN	 	350	0.00e+00	1.0000e+00	4.9858e+00	0
MTF1	 	355	0.00e+00	1.0000e+00	4.9819e+00	0
KAT2B	 	384	0.00e+00	1.0000e+00	4.9780e+00	0
SLC30A9	 	385	0.00e+00	1.0000e+00	4.9741e+00	0
FHOD3	 	400	0.00e+00	1.0000e+00	4.9702e+00	0
IFT81	 	448	0.00e+00	1.0000e+00	4.9663e+00	0
UBN1	 	465	0.00e+00	1.0000e+00	4.9624e+00	0
GALNT3	 	489	0.00e+00	1.0000e+00	4.9585e+00	0
SOCS5	 	501	0.00e+00	1.0000e+00	4.9546e+00	0
HLTF	 	505	0.00e+00	1.0000e+00	4.9507e+00	0
IFIH1	 	506	0.00e+00	1.0000e+00	4.9469e+00	0
SPEF2	 	517	0.00e+00	1.0000e+00	4.9430e+00	0
NCAPD2	 	536	0.00e+00	1.0000e+00	4.9392e+00	0
ADD3	 	549	0.00e+00	1.0000e+00	4.9353e+00	0
SCN7A	 	554	0.00e+00	1.0000e+00	4.9315e+00	0
RFX6	 	569	0.00e+00	1.0000e+00	4.9276e+00	0
CAPN7	 	571	0.00e+00	1.0000e+00	4.9238e+00	0
ENPP2	 	593	0.00e+00	1.0000e+00	4.9200e+00	0
UNC5D	 	652	0.00e+00	1.0000e+00	4.9161e+00	0
RANBP17	 	689	0.00e+00	1.0000e+00	4.9123e+00	0
PINK1	 	23	0.00e+00	1.0000e+00	4.9085e+00	0
NUDT7	 	27	0.00e+00	1.0000e+00	4.9047e+00	0
MECOM	 	803	0.00e+00	1.0000e+00	4.9009e+00	0
WDR59	 	815	0.00e+00	1.0000e+00	4.8971e+00	0
ITSN1	 	856	0.00e+00	1.0000e+00	4.8934e+00	0
C11orf88	 	41	0.00e+00	1.0000e+00	4.8896e+00	0
FAM135A	 	947	0.00e+00	1.0000e+00	4.8858e+00	0
SNAP23	 	45	0.00e+00	1.0000e+00	4.8820e+00	0
COTL1	 	46	0.00e+00	1.0000e+00	4.8783e+00	0
VSIG1	 	50	0.00e+00	1.0000e+00	4.8745e+00	0
DPEP1	 	51	0.00e+00	1.0000e+00	4.8708e+00	0
EP300	 	1061	0.00e+00	1.0000e+00	4.8670e+00	0
SCN2A	 	1194	0.00e+00	1.0000e+00	4.8633e+00	0
DTX4	 	77	0.00e+00	1.0000e+00	4.8596e+00	0
SAYSD1	 	80	0.00e+00	1.0000e+00	4.8558e+00	0
KIF1B	 	1330	0.00e+00	1.0000e+00	4.8521e+00	0
INSIG2	 	82	0.00e+00	1.0000e+00	4.8484e+00	0
F9	 	115	0.00e+00	1.0000e+00	4.8447e+00	0
NDUFAF5	 	119	0.00e+00	1.0000e+00	4.8410e+00	0
CCT6B	 	121	0.00e+00	1.0000e+00	4.8373e+00	0
OSGEP	 	122	0.00e+00	1.0000e+00	4.8336e+00	0
WISP3	 	130	0.00e+00	1.0000e+00	4.8299e+00	0
PRR11	 	136	0.00e+00	1.0000e+00	4.8262e+00	0
ABR	 	139	0.00e+00	1.0000e+00	4.8225e+00	0
DIABLO	 	144	0.00e+00	1.0000e+00	4.8189e+00	0
AXDND1	 	146	0.00e+00	1.0000e+00	4.8152e+00	0
SLC35F4	 	155	0.00e+00	1.0000e+00	4.8116e+00	0
SNX16	 	157	0.00e+00	1.0000e+00	4.8079e+00	0
ZNF395	 	161	0.00e+00	1.0000e+00	4.8042e+00	0
CCBL2	 	162	0.00e+00	1.0000e+00	4.8006e+00	0
KHDRBS2	 	169	0.00e+00	1.0000e+00	4.7970e+00	0
STX6	 	172	0.00e+00	1.0000e+00	4.7933e+00	0
NUFIP1	 	176	0.00e+00	1.0000e+00	4.7897e+00	0
FAM210A	 	176	0.00e+00	1.0000e+00	4.7861e+00	0
ANXA1	 	182	0.00e+00	1.0000e+00	4.7825e+00	0
EXOSC7	 	193	0.00e+00	1.0000e+00	4.7789e+00	0
SLC35D2	 	195	0.00e+00	1.0000e+00	4.7753e+00	0
PDGFD	 	198	0.00e+00	1.0000e+00	4.7717e+00	0
PCYOX1	 	201	0.00e+00	1.0000e+00	4.7681e+00	0
ATG3	 	208	0.00e+00	1.0000e+00	4.7645e+00	0
CEP89	 	210	0.00e+00	1.0000e+00	4.7609e+00	0
RELB	 	214	0.00e+00	1.0000e+00	4.7573e+00	0
PARP11	 	218	0.00e+00	1.0000e+00	4.7538e+00	0
RBMS3	 	221	0.00e+00	1.0000e+00	4.7502e+00	0
SLC35B4	 	221	0.00e+00	1.0000e+00	4.7466e+00	0
FAM192A	 	221	0.00e+00	1.0000e+00	4.7431e+00	0
HNRNPA2B1	 	224	0.00e+00	1.0000e+00	4.7395e+00	0
TRIM58	 	234	0.00e+00	1.0000e+00	4.7360e+00	0
USP3	 	237	0.00e+00	1.0000e+00	4.7324e+00	0
POLG2	 	237	0.00e+00	1.0000e+00	4.7289e+00	0
STX12	 	238	0.00e+00	1.0000e+00	4.7254e+00	0
RAP1GAP2	 	247	0.00e+00	1.0000e+00	4.7218e+00	0
CCDC150	 	247	0.00e+00	1.0000e+00	4.7183e+00	0
SH2D3C	 	255	0.00e+00	1.0000e+00	4.7148e+00	0
HMMR	 	255	0.00e+00	1.0000e+00	4.7113e+00	0
FASTKD2	 	260	0.00e+00	1.0000e+00	4.7078e+00	0
BMP2	 	264	0.00e+00	1.0000e+00	4.7043e+00	0
NAPEPLD	 	279	0.00e+00	1.0000e+00	4.7008e+00	0
AFP	 	282	0.00e+00	1.0000e+00	4.6973e+00	0
PPARD	 	285	0.00e+00	1.0000e+00	4.6938e+00	0
DPF2	 	285	0.00e+00	1.0000e+00	4.6904e+00	0
KDM1B	 	285	0.00e+00	1.0000e+00	4.6869e+00	0
CNOT6L	 	287	0.00e+00	1.0000e+00	4.6834e+00	0
SEMA6C	 	290	0.00e+00	1.0000e+00	4.6800e+00	0
ADRB2	 	295	0.00e+00	1.0000e+00	4.6765e+00	0
SLC1A4	 	298	0.00e+00	1.0000e+00	4.6731e+00	0
HAT1	 	301	0.00e+00	1.0000e+00	4.6696e+00	0
HSF2	 	301	0.00e+00	1.0000e+00	4.6662e+00	0
ICK	 	310	0.00e+00	1.0000e+00	4.6627e+00	0
OTOA	 	311	0.00e+00	1.0000e+00	4.6593e+00	0
ARHGAP12	 	314	0.00e+00	1.0000e+00	4.6559e+00	0
KYNU	 	334	0.00e+00	1.0000e+00	4.6525e+00	0
MGAT4A	 	351	0.00e+00	1.0000e+00	4.6490e+00	0
NCK1	 	362	0.00e+00	1.0000e+00	4.6456e+00	0
ZNF76	 	364	0.00e+00	1.0000e+00	4.6422e+00	0
SOBP	 	375	0.00e+00	1.0000e+00	4.6388e+00	0
DIAPH1	 	377	0.00e+00	1.0000e+00	4.6354e+00	0
CPEB3	 	379	0.00e+00	1.0000e+00	4.6320e+00	0
POLI	 	381	0.00e+00	1.0000e+00	4.6287e+00	0
TEX14	 	381	0.00e+00	1.0000e+00	4.6253e+00	0
ZNF341	 	383	0.00e+00	1.0000e+00	4.6219e+00	0
PKHD1L1	 	384	0.00e+00	1.0000e+00	4.6185e+00	0
NFE2L2	 	396	0.00e+00	1.0000e+00	4.6152e+00	0
NR1D2	 	400	0.00e+00	1.0000e+00	4.6118e+00	0
CACNB2	 	401	0.00e+00	1.0000e+00	4.6084e+00	0
G3BP2	 	407	0.00e+00	1.0000e+00	4.6051e+00	0
FOLH1	 	407	0.00e+00	1.0000e+00	4.6017e+00	0
NAA35	 	413	0.00e+00	1.0000e+00	4.5984e+00	0
DNAJC10	 	424	0.00e+00	1.0000e+00	4.5951e+00	0
GAD2	 	425	0.00e+00	1.0000e+00	4.5917e+00	0
DMGDH	 	429	0.00e+00	1.0000e+00	4.5884e+00	0
CRISPLD1	 	440	0.00e+00	1.0000e+00	4.5851e+00	0
ADGRF5	 	443	0.00e+00	1.0000e+00	4.5818e+00	0
EYA3	 	450	0.00e+00	1.0000e+00	4.5785e+00	0
GFM2	 	460	0.00e+00	1.0000e+00	4.5751e+00	0
KIF11	 	466	0.00e+00	1.0000e+00	4.5718e+00	0
PIWIL2	 	469	0.00e+00	1.0000e+00	4.5685e+00	0
FAM13B	 	471	0.00e+00	1.0000e+00	4.5652e+00	0
LIFR	 	482	0.00e+00	1.0000e+00	4.5620e+00	0
TRIM2	 	484	0.00e+00	1.0000e+00	4.5587e+00	0
MTHFD1	 	494	0.00e+00	1.0000e+00	4.5554e+00	0
RPA1	 	494	0.00e+00	1.0000e+00	4.5521e+00	0
BCOR	 	505	0.00e+00	1.0000e+00	4.5489e+00	0
CD163	 	512	0.00e+00	1.0000e+00	4.5456e+00	0
SRP72	 	521	0.00e+00	1.0000e+00	4.5423e+00	0
NOS1	 	523	0.00e+00	1.0000e+00	4.5391e+00	0
FCHSD2	 	530	0.00e+00	1.0000e+00	4.5358e+00	0
KLHL24	 	534	0.00e+00	1.0000e+00	4.5326e+00	0
ABCB7	 	550	0.00e+00	1.0000e+00	4.5293e+00	0
NAA25	 	578	0.00e+00	1.0000e+00	4.5261e+00	0
NEMF	 	578	0.00e+00	1.0000e+00	4.5229e+00	0
NDUFS1	 	598	0.00e+00	1.0000e+00	4.5196e+00	0
LMTK2	 	606	0.00e+00	1.0000e+00	4.5164e+00	0
ERCC4	 	618	0.00e+00	1.0000e+00	4.5132e+00	0
SEMA3A	 	620	0.00e+00	1.0000e+00	4.5100e+00	0
TENM2	 	635	0.00e+00	1.0000e+00	4.5068e+00	0
PRTG	 	640	0.00e+00	1.0000e+00	4.5036e+00	0
INADL	 	647	0.00e+00	1.0000e+00	4.5004e+00	0
MYBPC1	 	649	0.00e+00	1.0000e+00	4.4972e+00	0
MAP4K3	 	656	0.00e+00	1.0000e+00	4.4940e+00	0
PKN2	 	692	0.00e+00	1.0000e+00	4.4908e+00	0
NRDC	 	694	0.00e+00	1.0000e+00	4.4876e+00	0
GCC2	 	704	0.00e+00	1.0000e+00	4.4844e+00	0
WDR17	 	721	0.00e+00	1.0000e+00	4.4812e+00	0
RBL1	 	730	0.00e+00	1.0000e+00	4.4781e+00	0
USP47	 	749	0.00e+00	1.0000e+00	4.4749e+00	0
ATP10B	 	759	0.00e+00	1.0000e+00	4.4718e+00	0
RNF111	 	760	0.00e+00	1.0000e+00	4.4686e+00	0
MAP2	 	774	0.00e+00	1.0000e+00	4.4654e+00	0
SNX14	 	775	0.00e+00	1.0000e+00	4.4623e+00	0
CLIP1	 	791	0.00e+00	1.0000e+00	4.4592e+00	0
SPHKAP	 	794	0.00e+00	1.0000e+00	4.4560e+00	0
DNMBP	 	817	0.00e+00	1.0000e+00	4.4529e+00	0
SMARCA5	 	853	0.00e+00	1.0000e+00	4.4498e+00	0
MYH10	 	864	0.00e+00	1.0000e+00	4.4466e+00	0
TANC1	 	925	0.00e+00	1.0000e+00	4.4435e+00	0
ZCCHC11	 	933	0.00e+00	1.0000e+00	4.4404e+00	0
PUM1	 	953	0.00e+00	1.0000e+00	4.4373e+00	0
ANKRD12	 	1000	0.00e+00	1.0000e+00	4.4342e+00	0
TPP2	 	1124	0.00e+00	1.0000e+00	4.4311e+00	0
CEP290	 	1155	0.00e+00	1.0000e+00	4.4280e+00	0
ANK3	 	1167	0.00e+00	1.0000e+00	4.4249e+00	0
KDM3B	 	1292	0.00e+00	1.0000e+00	4.4218e+00	0
MYO5A	 	1328	0.00e+00	1.0000e+00	4.4187e+00	0
CKAP5	 	1433	0.00e+00	1.0000e+00	4.4156e+00	0
CD2AP	 	333	0.00e+00	1.0000e+00	4.4125e+00	0
CYB5R4	 	251	0.00e+00	1.0000e+00	4.4095e+00	0
MAML2	 	476	0.00e+00	1.0000e+00	4.4064e+00	0
KIT	 	495	0.00e+00	1.0000e+00	4.4033e+00	0
SAP130	 	550	0.00e+00	1.0000e+00	4.4003e+00	0
GABRG2	 	173	0.00e+00	1.0000e+00	4.3972e+00	0
FDFT1	 	191	0.00e+00	1.0000e+00	4.3942e+00	0
POLR3A	 	1091	0.00e+00	1.0000e+00	4.3911e+00	0
METAP1D	 	241	0.00e+00	1.0000e+00	4.3881e+00	0
BMP5	 	242	0.00e+00	1.0000e+00	4.3850e+00	0
IGSF3	 	249	0.00e+00	1.0000e+00	4.3820e+00	0
KLF7	 	254	0.00e+00	1.0000e+00	4.3790e+00	0
PPM1H	 	257	0.00e+00	1.0000e+00	4.3760e+00	0
SEH1L	 	269	0.00e+00	1.0000e+00	4.3729e+00	0
FBXO28	 	274	0.00e+00	1.0000e+00	4.3699e+00	0
YOD1	 	281	0.00e+00	1.0000e+00	4.3669e+00	0
SPAG6	 	292	0.00e+00	1.0000e+00	4.3639e+00	0
MCC	 	297	0.00e+00	1.0000e+00	4.3609e+00	0
MTMR7	 	302	0.00e+00	1.0000e+00	4.3579e+00	0
DST	 	1441	0.00e+00	1.0000e+00	4.3549e+00	0
CYP2R1	 	309	0.00e+00	1.0000e+00	4.3519e+00	0
POLL	 	317	0.00e+00	1.0000e+00	4.3489e+00	0
MAP2K6	 	322	0.00e+00	1.0000e+00	4.3459e+00	0
CDH1	 	330	0.00e+00	1.0000e+00	4.3429e+00	0
RSRC2	 	332	0.00e+00	1.0000e+00	4.3400e+00	0
ZNF609	 	342	0.00e+00	1.0000e+00	4.3370e+00	0
INTS8	 	345	0.00e+00	1.0000e+00	4.3340e+00	0
Sscr	 	381	0.00e+00	1.0000e+00	4.3311e+00	0
HFM1	 	386	0.00e+00	1.0000e+00	4.3281e+00	0
LINGO2	 	404	0.00e+00	1.0000e+00	4.3251e+00	0
UACA	 	517	0.00e+00	1.0000e+00	4.3222e+00	0
TRPC1	 	522	0.00e+00	1.0000e+00	4.3192e+00	0
ZDHHC17	 	555	0.00e+00	1.0000e+00	4.3163e+00	0
NUDT8	 	16	0.00e+00	1.0000e+00	4.3134e+00	0
SEL1L	 	615	0.00e+00	1.0000e+00	4.3104e+00	0
EPC1	 	629	0.00e+00	1.0000e+00	4.3075e+00	0
SSH2	 	669	0.00e+00	1.0000e+00	4.3046e+00	0
IDE	 	682	0.00e+00	1.0000e+00	4.3016e+00	0
CEBPZ	 	685	0.00e+00	1.0000e+00	4.2987e+00	0
CLOCK	 	687	0.00e+00	1.0000e+00	4.2958e+00	0
DENND5B	 	767	0.00e+00	1.0000e+00	4.2929e+00	0
DENND4C	 	794	0.00e+00	1.0000e+00	4.2900e+00	0
QSER1	 	812	0.00e+00	1.0000e+00	4.2871e+00	0
PUS1	 	34	0.00e+00	1.0000e+00	4.2842e+00	0
XPO5	 	873	0.00e+00	1.0000e+00	4.2813e+00	0
DYNC1I1	 	41	0.00e+00	1.0000e+00	4.2784e+00	0
ODAM	 	42	0.00e+00	1.0000e+00	4.2755e+00	0
RNF149	 	45	0.00e+00	1.0000e+00	4.2726e+00	0
ARHGAP5	 	995	0.00e+00	1.0000e+00	4.2697e+00	0
STT3B	 	48	0.00e+00	1.0000e+00	4.2668e+00	0
THTPA	 	50	0.00e+00	1.0000e+00	4.2640e+00	0
BRWD1	 	1200	0.00e+00	1.0000e+00	4.2611e+00	0
IL12A	 	88	0.00e+00	1.0000e+00	4.2582e+00	0
RBKS	 	108	0.00e+00	1.0000e+00	4.2554e+00	0
NEK11	 	113	0.00e+00	1.0000e+00	4.2525e+00	0
NRIP1	 	118	0.00e+00	1.0000e+00	4.2497e+00	0
TMED5	 	121	0.00e+00	1.0000e+00	4.2468e+00	0
CENPO	 	135	0.00e+00	1.0000e+00	4.2440e+00	0
QTRT1	 	138	0.00e+00	1.0000e+00	4.2411e+00	0
ARHGAP44	 	143	0.00e+00	1.0000e+00	4.2383e+00	0
RDH14	 	144	0.00e+00	1.0000e+00	4.2355e+00	0
EPT1	 	146	0.00e+00	1.0000e+00	4.2326e+00	0
ASPN	 	148	0.00e+00	1.0000e+00	4.2298e+00	0
CASP8	 	149	0.00e+00	1.0000e+00	4.2270e+00	0
AP4M1	 	150	0.00e+00	1.0000e+00	4.2241e+00	0
GTPBP3	 	153	0.00e+00	1.0000e+00	4.2213e+00	0
RHAG	 	153	0.00e+00	1.0000e+00	4.2185e+00	0
SGCB	 	160	0.00e+00	1.0000e+00	4.2157e+00	0
CDCA7	 	163	0.00e+00	1.0000e+00	4.2129e+00	0
IMPAD1	 	166	0.00e+00	1.0000e+00	4.2101e+00	0
CPM	 	167	0.00e+00	1.0000e+00	4.2073e+00	0
DUSP19	 	169	0.00e+00	1.0000e+00	4.2045e+00	0
CIAPIN1	 	169	0.00e+00	1.0000e+00	4.2017e+00	0
FEZF2	 	169	0.00e+00	1.0000e+00	4.1989e+00	0
CLN5	 	175	0.00e+00	1.0000e+00	4.1962e+00	0
NDUFAF6	 	178	0.00e+00	1.0000e+00	4.1934e+00	0
FBXO41	 	183	0.00e+00	1.0000e+00	4.1906e+00	0
ANXA4	 	188	0.00e+00	1.0000e+00	4.1878e+00	0
GFPT1	 	190	0.00e+00	1.0000e+00	4.1851e+00	0
IPMK	 	193	0.00e+00	1.0000e+00	4.1823e+00	0
UTP23	 	196	0.00e+00	1.0000e+00	4.1795e+00	0
DEF6	 	198	0.00e+00	1.0000e+00	4.1768e+00	0
COX15	 	198	0.00e+00	1.0000e+00	4.1740e+00	0
SLC18A1	 	199	0.00e+00	1.0000e+00	4.1713e+00	0
LNX1	 	201	0.00e+00	1.0000e+00	4.1685e+00	0
XRRA1	 	202	0.00e+00	1.0000e+00	4.1658e+00	0
POLR1E	 	204	0.00e+00	1.0000e+00	4.1631e+00	0
C8A	 	209	0.00e+00	1.0000e+00	4.1603e+00	0
AMOTL1	 	213	0.00e+00	1.0000e+00	4.1576e+00	0
CYTIP	 	216	0.00e+00	1.0000e+00	4.1549e+00	0
DOK6	 	218	0.00e+00	1.0000e+00	4.1521e+00	0
TMEM165	 	219	0.00e+00	1.0000e+00	4.1494e+00	0
DNAJC2	 	223	0.00e+00	1.0000e+00	4.1467e+00	0
ANXA10	 	231	0.00e+00	1.0000e+00	4.1440e+00	0
CWC27	 	234	0.00e+00	1.0000e+00	4.1413e+00	0
GBE1	 	235	0.00e+00	1.0000e+00	4.1386e+00	0
CCDC81	 	242	0.00e+00	1.0000e+00	4.1359e+00	0
OGFOD1	 	242	0.00e+00	1.0000e+00	4.1332e+00	0
LVRN	 	245	0.00e+00	1.0000e+00	4.1305e+00	0
SLC44A1	 	247	0.00e+00	1.0000e+00	4.1278e+00	0
EFCAB5	 	247	0.00e+00	1.0000e+00	4.1251e+00	0
MTA3	 	248	0.00e+00	1.0000e+00	4.1224e+00	0
COG1	 	255	0.00e+00	1.0000e+00	4.1197e+00	0
PRKAB1	 	257	0.00e+00	1.0000e+00	4.1170e+00	0
PDK4	 	267	0.00e+00	1.0000e+00	4.1144e+00	0
SESN3	 	274	0.00e+00	1.0000e+00	4.1117e+00	0
ATG16L1	 	275	0.00e+00	1.0000e+00	4.1090e+00	0
DCAF11	 	276	0.00e+00	1.0000e+00	4.1064e+00	0
LRIG1	 	277	0.00e+00	1.0000e+00	4.1037e+00	0
ZNF438	 	277	0.00e+00	1.0000e+00	4.1010e+00	0
KLHDC1	 	278	0.00e+00	1.0000e+00	4.0984e+00	0
ETNPPL	 	279	0.00e+00	1.0000e+00	4.0957e+00	0
PIP5K1A	 	280	0.00e+00	1.0000e+00	4.0931e+00	0
SDPR	 	281	0.00e+00	1.0000e+00	4.0904e+00	0
CDH3	 	287	0.00e+00	1.0000e+00	4.0878e+00	0
CDK7	 	294	0.00e+00	1.0000e+00	4.0852e+00	0
POLH	 	294	0.00e+00	1.0000e+00	4.0825e+00	0
STK3	 	295	0.00e+00	1.0000e+00	4.0799e+00	0
CEP95	 	295	0.00e+00	1.0000e+00	4.0773e+00	0
ENPP4	 	296	0.00e+00	1.0000e+00	4.0746e+00	0
COG2	 	297	0.00e+00	1.0000e+00	4.0720e+00	0
LMBRD1	 	301	0.00e+00	1.0000e+00	4.0694e+00	0
DENND5A	 	307	0.00e+00	1.0000e+00	4.0668e+00	0
PTPRR	 	309	0.00e+00	1.0000e+00	4.0642e+00	0
PYGO1	 	310	0.00e+00	1.0000e+00	4.0616e+00	0
KCNN2	 	311	0.00e+00	1.0000e+00	4.0590e+00	0
DCP2	 	313	0.00e+00	1.0000e+00	4.0564e+00	0
LMAN1	 	313	0.00e+00	1.0000e+00	4.0538e+00	0
PKP2	 	316	0.00e+00	1.0000e+00	4.0512e+00	0
ADAMTS5	 	318	0.00e+00	1.0000e+00	4.0486e+00	0
PTGS2	 	322	0.00e+00	1.0000e+00	4.0460e+00	0
MTMR9	 	322	0.00e+00	1.0000e+00	4.0434e+00	0
CAP2	 	325	0.00e+00	1.0000e+00	4.0408e+00	0
P3H2	 	325	0.00e+00	1.0000e+00	4.0383e+00	0
LMBR1	 	332	0.00e+00	1.0000e+00	4.0357e+00	0
GFPT2	 	332	0.00e+00	1.0000e+00	4.0331e+00	0
ADPGK	 	334	0.00e+00	1.0000e+00	4.0306e+00	0
LMOD3	 	336	0.00e+00	1.0000e+00	4.0280e+00	0
EDC3	 	339	0.00e+00	1.0000e+00	4.0254e+00	0
SPIRE1	 	339	0.00e+00	1.0000e+00	4.0229e+00	0
MKKS	 	340	0.00e+00	1.0000e+00	4.0203e+00	0
TEC	 	341	0.00e+00	1.0000e+00	4.0178e+00	0
TROVE2	 	343	0.00e+00	1.0000e+00	4.0152e+00	0
SSX2IP	 	346	0.00e+00	1.0000e+00	4.0127e+00	0
QRSL1	 	348	0.00e+00	1.0000e+00	4.0101e+00	0
SPAG17	 	357	0.00e+00	1.0000e+00	4.0076e+00	0
SLC1A2	 	362	0.00e+00	1.0000e+00	4.0051e+00	0
NAV2	 	363	0.00e+00	1.0000e+00	4.0025e+00	0
SIPA1L3	 	371	0.00e+00	1.0000e+00	4.0000e+00	0
INTS9	 	375	0.00e+00	1.0000e+00	3.9975e+00	0
PIWIL4	 	377	0.00e+00	1.0000e+00	3.9950e+00	0
DNAJC6	 	379	0.00e+00	1.0000e+00	3.9924e+00	0
PEX6	 	380	0.00e+00	1.0000e+00	3.9899e+00	0
FBXW7	 	382	0.00e+00	1.0000e+00	3.9874e+00	0
ESCO1	 	382	0.00e+00	1.0000e+00	3.9849e+00	0
USO1	 	384	0.00e+00	1.0000e+00	3.9824e+00	0
COL4A3BP	 	385	0.00e+00	1.0000e+00	3.9799e+00	0
AKAP10	 	388	0.00e+00	1.0000e+00	3.9774e+00	0
VPS41	 	389	0.00e+00	1.0000e+00	3.9749e+00	0
EHD3	 	395	0.00e+00	1.0000e+00	3.9724e+00	0
TBC1D23	 	398	0.00e+00	1.0000e+00	3.9699e+00	0
EYA1	 	403	0.00e+00	1.0000e+00	3.9674e+00	0
ANLN	 	409	0.00e+00	1.0000e+00	3.9649e+00	0
ZFYVE9	 	417	0.00e+00	1.0000e+00	3.9625e+00	0
